2015-08-24 08:04:54 - Thing 'yahooweather:weather:berlin' has been added.
2015-08-24 08:04:54 - yahooweather:weather:berlin' updated: INITIALIZING
2015-08-24 08:04:54 - yahooweather:weather:berlin' updated: ONLINE
2015-08-24 08:04:54 - Thing 'astro:sun:home' has been added.
2015-08-24 08:04:54 - astro:sun:home' updated: INITIALIZING
2015-08-24 08:04:54 - astro:sun:home' updated: ONLINE
2015-08-24 08:04:56 - Sun_Elevation updated to 17.34
2015-08-24 08:04:58 - yahooweather:weather:berlin' updated: ONLINE
2015-08-24 08:05:02 - Weather_Temperature updated to 17
2015-08-24 08:05:02 - Weather_LastUpdate updated to 2015-08-24T08:05:02
2015-08-24 08:05:02 - Light_GF_Living_Table updated to OFF
2015-08-24 08:05:02 - Light_GF_Corridor_Ceiling updated to ON
2015-08-24 08:05:02 - Light_GF_Kitchen_Ceiling updated to OFF
2015-08-24 08:05:02 - Light_GF_Kitchen_Table updated to OFF
2015-08-24 08:05:02 - Light_GF_Corridor_Wardrobe updated to OFF
2015-08-24 08:05:02 - Light_GF_Toilet_Ceiling updated to ON
2015-08-24 08:05:02 - Light_GF_Toilet_Mirror updated to OFF
2015-08-24 08:05:02 - Light_FF_Bath_Ceiling updated to OFF
2015-08-24 08:05:02 - Light_FF_Bath_Mirror updated to OFF
2015-08-24 08:05:02 - Temperature_GF_Corridor updated to 18.4
2015-08-24 08:05:02 - Light_FF_Corridor_Ceiling updated to ON
2015-08-24 08:05:02 - Light_FF_Office_Ceiling updated to OFF
2015-08-24 08:05:02 - Light_FF_Child_Ceiling updated to ON
2015-08-24 08:05:02 - Temperature_GF_Toilet updated to 19.5
2015-08-24 08:05:02 - Light_FF_Bed_Ceiling updated to OFF
2015-08-24 08:05:02 - Light_C_Corridor_Ceiling updated to ON
2015-08-24 08:05:02 - Light_C_Staircase updated to OFF
2015-08-24 08:05:02 - Temperature_GF_Living updated to 20.4
2015-08-24 08:05:02 - Light_C_Washing_Ceiling updated to OFF
2015-08-24 08:05:02 - Light_C_Workshop updated to ON
2015-08-24 08:05:02 - Light_Garden_Garage updated to OFF
2015-08-24 08:05:02 - Temperature_GF_Kitchen updated to 18.6
2015-08-24 08:05:02 - Light_Garden_Terrace updated to ON
2015-08-24 08:05:02 - Temperature_FF_Bath updated to 21.7
2015-08-24 08:05:02 - Temperature_FF_Office updated to 21.7
2015-08-24 08:05:02 - Heating_GF_Corridor updated to OFF
2015-08-24 08:05:02 - Temperature_FF_Child updated to 22.3
2015-08-24 08:05:02 - Heating_GF_Toilet updated to OFF
2015-08-24 08:05:02 - Temperature_FF_Bed updated to 20.1
2015-08-24 08:05:02 - Heating_GF_Living updated to OFF
2015-08-24 08:05:02 - Heating_GF_Kitchen updated to OFF
2015-08-24 08:05:02 - Heating_FF_Bath updated to OFF
2015-08-24 08:05:02 - Heating_FF_Office updated to OFF
2015-08-24 08:05:02 - Heating_FF_Child updated to OFF
2015-08-24 08:05:02 - Heating_FF_Bed updated to OFF
2015-08-24 08:05:02 - Temperature_Setpoint updated to 22
2015-08-24 08:05:02 - Window_GF_Frontdoor updated to OPEN
2015-08-24 08:05:02 - Window_GF_Kitchen updated to OPEN
2015-08-24 08:05:02 - Window_GF_Living updated to OPEN
2015-08-24 08:05:02 - Weather_Temp_Max updated to 17
2015-08-24 08:05:02 - Window_GF_Toilet updated to OPEN
2015-08-24 08:05:02 - Window_FF_Bath updated to CLOSED
2015-08-24 08:05:02 - Window_FF_Bed updated to CLOSED
2015-08-24 08:05:02 - Window_FF_Office_Window updated to CLOSED
2015-08-24 08:05:02 - Weather_Temp_Min updated to 17
2015-08-24 08:05:02 - Window_FF_Office_Door updated to CLOSED
2015-08-24 08:05:02 - Garage_Door updated to OPEN
2015-08-24 08:05:02 - DemoLocation updated to 52.5200066,13.4049540
2015-08-24 08:05:02 - Temperature_GF_Corridor updated to 22.1
2015-08-24 08:05:02 - Temperature_GF_Toilet updated to 19.6
2015-08-24 08:05:02 - Temperature_GF_Living updated to 22.2
2015-08-24 08:05:02 - Temperature_GF_Kitchen updated to 19.5
2015-08-24 08:05:02 - Temperature_FF_Bath updated to 22.3
2015-08-24 08:05:02 - Temperature_FF_Office updated to 20.5
2015-08-24 08:05:02 - Temperature_FF_Child updated to 19.6
2015-08-24 08:05:02 - Temperature_FF_Bed updated to 17.6
2015-08-24 08:05:02 - Weather_Temp_Max updated to 17
2015-08-24 08:05:02 - Weather_Temp_Min updated to 17
